,name,folder,title,warnings,mean_h,mean_s,mean_v,h1,h2,h3,h4,h5,blobs_log,blobs_dog,blobs_doh,class,time,date,dilution
0,1_negative_gota_diluição 1 para 10_5 min.bmp,dilution_1_10,dilution_1_10\1_negative_gota_diluição 1 para 10_5 min.bmp,overflow,0.4784646835382288,0.86896735454834,0.19833019728545737,0.6753571428571429,0.12353174603174603,0.0951984126984127,0.05900793650793651,0.04690476190476191,1,1,1,negative,5,NA,1:10
1,2_negative_gota_diluição 1 para 10_7 min.bmp,dilution_1_10,dilution_1_10\2_negative_gota_diluição 1 para 10_7 min.bmp,overflow,0.4594486868215696,0.8552733279916106,0.19376331660490653,0.6867063492063492,0.10948412698412699,0.09650793650793651,0.06067460317460317,0.04662698412698413,1,1,1,negative,7,NA,1:10
2,3_negative_gota_diluição 1 para 10_10 min.bmp,dilution_1_10,dilution_1_10\3_negative_gota_diluição 1 para 10_10 min.bmp,"overflow, flare",0.44632753485912335,0.8258757447583553,0.19403992727230285,0.688968253968254,0.1071031746031746,0.09063492063492064,0.059484126984126987,0.05380952380952381,1,1,1,negative,10,NA,1:10
3,4_negative_gota_diluição 1 para 10_15 min.bmp,dilution_1_10,dilution_1_10\4_negative_gota_diluição 1 para 10_15 min.bmp,overflow,0.4370232180861947,0.7595815188206937,0.17882470732829717,0.697936507936508,0.11115079365079365,0.09753968253968254,0.05615079365079365,0.03722222222222222,0,0,0,negative,15,NA,1:10
4,5_negative_gota_diluição 1 para 10_20 min.bmp,dilution_1_10,dilution_1_10\5_negative_gota_diluição 1 para 10_20 min.bmp,overflow,0.4356667050183189,0.7776789237259254,0.17525258793605464,0.7029761904761904,0.11337301587301588,0.09162698412698413,0.05492063492063492,0.0371031746031746,0,0,0,negative,20,NA,1:10
5,6_negative_gota_diluição 1 para 10_25 min.bmp,dilution_1_10,dilution_1_10\6_negative_gota_diluição 1 para 10_25 min.bmp,"overflow, flare",0.4381132192604994,0.7933048571885889,0.18431680277250911,0.6946428571428571,0.10984126984126984,0.09317460317460317,0.05876984126984127,0.04357142857142857,0,0,0,negative,25,NA,1:10
6,7_negative_gota_diluição 1 para 10_30 min.bmp,dilution_1_10,dilution_1_10\7_negative_gota_diluição 1 para 10_30 min.bmp,"overflow, flare",0.438262284335176,0.7910366206033298,0.17960979063173027,0.6960714285714286,0.11587301587301588,0.09214285714285714,0.0569047619047619,0.039007936507936505,0,0,0,negative,30,NA,1:10
7,8_positive_gota_diluição 1 para 10_1 min.bmp,dilution_1_10,dilution_1_10\8_positive_gota_diluição 1 para 10_1 min.bmp,overflow,0.8982846247687236,0.9794685654078487,0.4510041699250852,0.44742063492063494,0.15456349206349207,0.05956349206349206,0.049484126984126985,0.288968253968254,33,30,19,positive,1,NA,1:10
8,9_positive_gota_diluição 1 para 10_5 min.bmp,dilution_1_10,dilution_1_10\9_positive_gota_diluição 1 para 10_5 min.bmp,overflow,0.7046717810045297,0.9956905853099144,0.35592432667533697,0.560952380952381,0.10642857142857143,0.055357142857142855,0.06710317460317461,0.21015873015873016,10,11,5,positive,5,NA,1:10
9,10_positive_gota_diluição 1 para 10_7 min.bmp,dilution_1_10,dilution_1_10\10_positive_gota_diluição 1 para 10_7 min.bmp,overflow,0.508855396468338,0.9447783884578952,0.24716144045657298,0.6421825396825397,0.09166666666666666,0.09234126984126984,0.0842063492063492,0.0896031746031746,0,0,0,positive,7,NA,1:10
10,11_positive_gota_diluição 1 para 10_10 min.bmp,dilution_1_10,dilution_1_10\11_positive_gota_diluição 1 para 10_10 min.bmp,overflow,0.5604042637580623,0.9841327349729236,0.2976559597565534,0.6161904761904762,0.07968253968253969,0.06932539682539683,0.08246031746031746,0.15234126984126983,4,4,2,positive,10,NA,1:10
11,12_positive_gota_diluição 1 para 10_11 min.bmp,dilution_1_10,dilution_1_10\12_positive_gota_diluição 1 para 10_11 min.bmp,overflow,0.581844214035264,0.9806994736078842,0.30825230390903974,0.6080555555555556,0.08353174603174603,0.06452380952380952,0.07559523809523809,0.1682936507936508,6,6,4,positive,11,NA,1:10
